specObjID mjd_spec plate fiberID z M_i FIRSTmag scienceprimary
104650889695854592 52078 371 7 1.8837 -27.051001 0 1
104650889825878016 52078 371 38 1.6744 -25.246 0 1
104650889830072320 52078 371 39 0.9006 -23.419001 0 1
104650889880403968 52078 371 51 1.9022 -26.329 0 1
104650889884598272 52078 371 52 1.7298 -26.424 0 1
104650889960095744 52078 371 70 1.7191 -25.285999 0 1
104650890106896384 52078 371 105 0.8809 -23.827 0 1
104650890174005248 52078 371 121 2.0462 -26.843 0 1
104650890211753984 52078 371 130 2.0011 -25.693001 0 1
104650890341777408 52078 371 161 1.9026 -26.066 0 1
104650890383720448 52078 371 171 0.5344 -22.325001 0 1
104650890421469184 52078 371 180 1.6011 -26.188999 0 1
104650890480189440 52078 371 194 0.803 -23.146 0 1
104650890501160960 52078 371 199 1.0416 -24.799999 0 1
104650890585047040 52078 371 219 0.7393 -22.948 0 1
104650890639572992 52078 371 232 0.3348 -23.002001 0 1
104650890647961600 52078 371 234 0.8065 -24.841 14.167 1
104650890798956544 52078 371 270 2.5584 -26.23 0 1
104650890874454016 52078 371 288 1.2622 -24.436001 0 1
104650890941562880 52078 371 304 1.252 -24.597 0 1
104650890966728704 52078 371 310 0.9707 -25.082001 0 1
104650890970923008 52078 371 311 1.3119 -26.608 0 1
104650890996088832 52078 371 317 1.3998 -25.330999 13.763 1
104650891029643264 52078 371 325 1.3644 -25.552 0 1
104650891113529344 52078 371 345 0.6828 -24.386999 0 1
104650891138695168 52078 371 351 0.6436 -24.537001 0 1
104650891218386944 52078 371 370 0.8203 -25.218 0 1
104650891239358464 52078 371 375 1.2487 -24.084999 0 1
104650891243552768 52078 371 376 1.5435 -24.721001 0 1
104650891331633152 52078 371 397 0.6711 -25.441 0 1
104650891356798976 52078 371 403 1.0114 -24.237 0 1
104650891402936320 52078 371 414 2.2986 -27.25 0 1
104650891562319872 52078 371 452 1.8309 -27.117001 0 1
104650891713314816 52078 371 488 0.3401 -22.149 0 1
104650891734286336 52078 371 493 2.0364 -26.247 0 1
104650891738480640 52078 371 494 1.2486 -25.215 0 1
104650891776229376 52078 371 503 0.9512 -23.643 0 1
104650891847532544 52078 371 520 1.1478 -24.655001 0 1
104650891855921152 52078 371 522 1.6453 -25.715 0 1
104650891897864192 52078 371 532 1.1306 -25.198999 0 1
104650891994333184 52078 371 555 1.401 -25.483999 0 1
104650892006916096 52078 371 558 1.3728 -24.554001 0 1
104650892141133824 52078 371 590 0.2778 -22.917 0 1
104650892153716736 52078 371 593 1.1113 -24.625999 0 1
104650892245991424 52078 371 615 1.2076 -24.628 0 1
104650892271157248 52078 371 621 1.0824 -23.700001 0 1
104650892317294592 52078 371 632 1.1473 -24.714001 0 1
104650892321488896 52078 371 633 1.998 -25.341 0 1
104650892325683200 52078 371 634 2.8437 -27.417 0 1
104932772686069760 52173 372 5 4.1198 -28.059 0 1
104932772715429888 52173 372 12 1.1674 -24.999001 0 1
104932772774150144 52173 372 26 1.7774 -27.146999 0 1
104932772799315968 52173 372 32 2.1206 -25.829 13.552 1
104932772828676096 52173 372 39 2.2069 -26.663 0 1
104932772979671040 52173 372 75 1.6884 -26.291 0 1
104932773000642560 52173 372 80 0.731 -24.76 0 1
104932773063557120 52173 372 95 1.9561 -26.542 0 1
104932773097111552 52173 372 103 1.2304 -24.865 0 1
104932773105500160 52173 372 105 1.6347 -26.219 0 1
104932773197774848 52173 372 127 1.9785 -26.573 0 1
104932773227134976 52173 372 134 1.4211 -26.134001 0 1
104932773407490048 52173 372 177 1.96 -28.914 15.423 1
104932773466210304 52173 372 191 1.4573 -26.822001 0 1
104932773487181824 52173 372 196 1.763 -26.094 0 1
104932773508153344 52173 372 201 4.115 -27.912001 0 1
104932773533319168 52173 372 207 0.3575 -22.184999 0 1
104932773537513472 52173 372 208 1.6374 -26.462999 0 1
104932773604622336 52173 372 224 0.3732 -24.148001 0 1
104932773680119808 52173 372 242 0.8878 -23.486 0 1
104932773789171712 52173 372 268 1.3211 -25.593 0 1
104932773793366016 52173 372 269 2.2907 -27.518 0 1
104932773940166656 52173 372 304 1.9567 -26.407 0 1
104932773944360960 52173 372 305 0.2177 -22.889999 0 1
104932774015664128 52173 372 322 1.3532 -26.503 0 1
104932774107938816 52173 372 344 2.0531 -26.722 0 1
104932774200213504 52173 372 366 1.036 -24.951 0 1
104932774258933760 52173 372 380 1.994 -25.396 0 1
104932774384762880 52173 372 410 3.0325 -26.440001 0 1
104932774426705920 52173 372 420 1.2198 -24.184999 0 1
104932774464454656 52173 372 429 1.6449 -26.356001 0 1
104932774489620480 52173 372 435 0.9055 -24.209999 0 1
104932774518980608 52173 372 442 0.5692 -23.295 16.193001 1
104932774611255296 52173 372 464 1.4594 -26.485001 0 1
104932774615449600 52173 372 465 0.4921 -22.077999 0 1
104932774628032512 52173 372 468 1.6724 -25.377001 0 1
104932774661586944 52173 372 476 1.0743 -24.482 0 1
104932774678364160 52173 372 480 1.8165 -25.525999 0 1
104932774690947072 52173 372 483 0.2712 -22.775999 0 1
