specObjID mjd_spec plate fiberID z M_i FIRSTmag scienceprimary
105494082041676000 51791 374 24 0 25 0 1
105494082003927000 51791 374 15 0 25 0 1
105494081961984000 51791 374 5 0 25 0 1
105494082414969000 51791 374 113 0 25 0 1
105212596679868000 51788 373 620 0 25 0 1
105494082473689000 51791 374 127 0 25 0 1
105212595828425000 51788 373 417 0 25 0 1
105212595773899000 51788 373 404 0 25 0 1
105212595497075000 51788 373 338 0 25 0 1
104932774409929000 52173 372 416 0 25 0 1
104932774204408000 52173 372 367 0 25 0 1
104932774036636000 52173 372 327 0 25 0 1
104932773545902000 52173 372 210 0 25 0 1
104932773524931000 52173 372 205 0 25 0 1
104650891470045000 52078 371 430 0 25 0 1
105494084205937000 51791 374 540 0 25 0 1
104650891155472000 52078 371 355 0 25 14167 1
104650890874454000 52078 371 288 0 25 0 1
104650890283057000 52078 371 147 0 25 0 1
105494084461789000 51791 374 601 0 25 0 1
104650889783935000 52078 371 28 0 25 0 1
105494084625367000 51791 374 640 0 25 0 1
104650889779741000 52078 371 27 0 25 13763 1
105494082301723000 51791 374 86 0 25 0 1
105494082393997000 51791 374 108 0 25 0 1
105494082444329000 51791 374 120 0 25 0 1
105494082561769000 51791 374 148 0 25 0 1
105212596507902000 51788 373 579 0 25 0 1
106058544289153000 52143 376 135 0 25 0 1
105212596394656000 51788 373 552 0 25 0 1
105212596361101000 51788 373 544 0 25 0 1
105494082733736000 51791 374 189 0 25 0 1
105494082834399000 51791 374 213 0 25 0 1
105494083224470000 51791 374 306 0 25 0 1
105212594192646000 51788 373 27 0 25 0 1
105494083333521000 51791 374 332 0 25 0 1
105494083492905000 51791 374 370 0 25 0 1
105494083614540000 51791 374 399 0 25 0 1
105494084075913000 51791 374 509 0 25 0 1
105494084151411000 51791 374 527 0 25 0 1
104650892225020000 52078 371 610 0 25 0 1
104650891763646000 52078 371 500 0 25 0 1
105494084277240000 51791 374 557 0 25 0 1
105494084386292000 51791 374 583 0 25 0 1
105494084445012000 51791 374 597 0 25 0 1
104650890530521000 52078 371 206 0 25 0 1
105494084591813000 51791 374 632 0 25 0 1
105777055924224000 52140 375 15 0 25 0 1
105777057673249000 52140 375 432 0 25 0 1
105777057857798000 52140 375 476 0 25 0 1
105777058436612000 52140 375 614 0 25 0 1
106901450461807000 51789 379 531 0 25 0 1
106901450503750000 51789 379 541 0 25 13552 1
106058544201073000 52143 376 114 0 25 0 1
106058544331096000 52143 376 145 0 25 0 1
106058544448537000 52143 376 173 0 25 0 1
107182936553423000 51792 380 109 0 25 0 1
106058545010573000 52143 376 307 0 25 0 1
106058545593582000 52143 376 446 0 25 0 1
106058545962680000 52143 376 534 0 25 0 1
106340027897741000 52145 377 145 0 25 0 1
106340027985822000 52145 377 166 0 25 15423 1
106340029248307000 52145 377 467 0 25 0 1
106340029474800000 52145 377 521 0 25 0 1
106621506582217000 52146 378 5 0 25 0 1
106621507031007000 52146 378 112 0 25 0 1
106621507169419000 52146 378 145 0 25 0 1
106621507337191000 52146 378 185 0 25 0 1
106621508595483000 52146 378 485 0 25 0 1
106901448259797000 51789 379 6 0 25 0 1
106901449463562000 51789 379 293 0 25 0 1
106901449497117000 51789 379 301 0 25 0 1
105777056649839000 52140 375 188 0 25 0 1
106901450164011000 51789 379 460 0 25 0 1
106901450424058000 51789 379 522 0 25 0 1
107182936230461000 51792 380 32 0 25 0 1
107182936477925000 51792 380 91 0 25 0 1
107182936532451000 51792 380 104 0 25 0 1
107182936830247000 51792 380 175 0 25 0 1
107182937467781000 51792 380 327 0 25 0 1
107182937543279000 51792 380 345 0 25 0 1
107182938147258000 51792 380 489 0 25 "16.193001" 1
107182938331808000 51792 380 533 0 25 0 1
107464492924797000 51811 381 59 0 25 0 1
107464493344227000 51811 381 159 0 25 0 1
107464493407142000 51811 381 174 0 25 0 1
107464493843350000 51811 381 278 0 25 0 1
107464494162117000 51811 381 354 0 25 0 1
107464494875148000 51811 381 524 0 25 0 1
107745989338595000 51816 382 50 0 25 0 1
107745989535728000 51816 382 97 0 25 0 1
107745990030655000 51816 382 215 0 25 0 1
108871769992987000 51788 386 290 0 25 0 1
107745990718521000 51816 382 379 0 25 0 1
107745991616102000 51816 382 593 0 25 0 1
106901449622946000 51789 379 331 0 25 0 1
106901449673277000 51789 379 343 0 25 0 1
109153257380643000 51791 387 177 0 25 0 1
106901449715220000 51789 379 353 0 25 0 1
108027472787800000 51818 383 22 0 25 0 1
109153257993011000 51791 387 323 0 25 0 1
109153258005594000 51791 387 326 0 25 0 1
108027473538580000 51818 383 201 0 25 0 1
108308961341473000 51821 384 187 0 25 0 1
108308961857372000 51821 384 310 0 25 0 1
108308961890927000 51821 384 318 0 25 0 1
108308962092253000 51821 384 366 0 25 0 1
